"id";"itemID";"filename";"title";"titleAttribute";"hits"
"311";"1098";"433_Market_Street_Camden.pdf";"Fact Sheet";"433_Market_Street_Camden.pdf";"526"
"313";"1099";"423_Market_Street_Camden.pdf";"Fact Sheet";"423_Market_Street_Camden.pdf";"491"
"457";"1100";"455_Route_70_Cherry_Hill.pdf";"Fact Sheet";"455_Route_70_Cherry_Hill.pdf";"84"
"316";"1101";"501_White_Horse_Pike_Collingswood.pdf";"Fact Sheet";"501_White_Horse_Pike_Collingswood.pdf";"218"
"317";"1102";"221_and_223_College_Drive_Gloucester_Twp.pdf";"Fact Sheet";"221_and_223_College_Drive_Gloucester_Twp.pdf";"466"
"318";"1103";"447_Route_38_Maple_Shade.pdf";"Fact Sheet";"447_Route_38_Maple_Shade.pdf";"461"
"320";"1104";"620_W_Clements_Bridge_Road_Runnemede.pdf";"Fact Sheet";"620_W_Clements_Bridge_Road_Runnemede.pdf";"699"
"321";"1105";"620_W_Clements_Bridge_Road_Runnemede_1.pdf";"Fact Sheet";"620_W_Clements_Bridge_Road_Runnemede_1.pdf";"0"
"322";"1106";"1562_Route_38_Lumberton.pdf";"Fact Sheet";"1562_Route_38_Lumberton.pdf";"447"
"323";"1107";"705_Berlin_Road_Voorhees.pdf";"Fact Sheet";"705_Berlin_Road_Voorhees.pdf";"680"
"324";"1108";"5600_Route_42_Turnersville.pdf";"Fact Sheet";"5600_Route_42_Turnersville.pdf";"605"
"325";"1109";"27-29_Kings_Highway_E_Audubon.pdf";"Fact Sheet";"27-29_Kings_Highway_E_Audubon.pdf";"618"
"327";"1110";"1201_Industrial_Highway_Cinnaminson.pdf";"Fact Sheet";"1201_Industrial_Highway_Cinnaminson.pdf";"427"
"359";"1111";"1235_Berlin_Road_Voorhees.pdf";"Fact Sheet";"1235_Berlin_Road_Voorhees.pdf";"465"
"330";"1124";"1510_Blackwood_Clementon_Rd_Blackwood.pdf";"Fact Sheet";"1510_Blackwood_Clementon_Rd_Blackwood.pdf";"309"
"331";"1125";"213_N_Black_Horse_Pike_Runnemede.pdf";"Fact Sheet";"213_N_Black_Horse_Pike_Runnemede.pdf";"503"
"335";"1127";"1330_Black_Horse_Pike_Williamstown.pdf";"Fact Sheet";"1330_Black_Horse_Pike_Williamstown.pdf";"407"
"337";"1128";"710_N._Delsea_Drive_Glassboro.pdf";"Fact Sheet";"710_N._Delsea_Drive_Glassboro.pdf";"560"
"338";"1129";"7_Carnegie_Plaza_Cherry_Hill.pdf";"Fact Sheet";"7_Carnegie_Plaza_Cherry_Hill.pdf";"472"
"339";"1130";"490_Cross_Keys_Road_Sickerlville.pdf";"Fact Sheet";"490_Cross_Keys_Road_Sickerlville.pdf";"376"
"341";"1131";"3801_Marlton_Pike_Pennsauken.pdf";"Fact Sheet";"3801_Marlton_Pike_Pennsauken.pdf";"147"
"343";"1132";"483_Hurffville_Cross_Keys_Road_Washington_Twp.pdf";"Fact Sheet";"483_Hurffville_Cross_Keys_Road_Washington_Twp.pdf";"371"
"344";"1133";"1307_White_Horse_Road_1.pdf";"Fact Sheet";"1307_White_Horse_Road_1.pdf";"445"
"346";"1134";"15_W_STOW_RD.pdf";"Fact Sheet";"15_W_STOW_RD.pdf";"433"
"348";"1135";"Cedar_Hill_Shopping_Center.pdf";"Fact Sheet";"Cedar_Hill_Shopping_Center.pdf";"32"
"349";"1136";"713_creek_rd_bellmawr_nj.pdf";"Fact Sheet";"713_creek_rd_bellmawr_nj.pdf";"428"
"369";"1137";"Cedar_Hill_Shopping_Center_1.pdf";"Fact Sheet";"Cedar_Hill_Shopping_Center_1.pdf";"280"
"352";"1138";"401_rt_70_Cherry_Hill.pdf";"Fact Sheet";"401_rt_70_Cherry_Hill.pdf";"514"
"362";"1139";"Cedar_Hill_Shopping_Center_2.pdf";"Fact Sheet";"Cedar_Hill_Shopping_Center_2.pdf";"275"
"371";"1141";"354_Hurffville_Cross_Keys_Rd_Washington_Twp.pdf";"Fact Sheet";"354_Hurffville_Cross_Keys_Rd_Washington_Twp.pdf";"339"
"444";"1142";"52_Coles_Rd_fact_sheet_updated_2014.pdf";"Fact Sheet";"52_Coles_Rd_fact_sheet_updated_2014.pdf";"242"
"370";"1143";"1200_Laurel_Oak_Road_VoorheesNJ.pdf";"Fact Sheet";"1200_Laurel_Oak_Road_VoorheesNJ.pdf";"353"
"367";"1146";"Red_Eagle_Tavern.pdf";"Fact Sheet";"Red_Eagle_Tavern.pdf";"713"
"368";"1147";"375_Crescent_Blvd_2.pdf";"Fact Sheet";"375_Crescent_Blvd_2.pdf";"612"
"430";"1150";"324_e_high_street_fact_sheet.pdf";"Fact Sheet";"324_e_high_street_fact_sheet.pdf";"161"
"453";"1149";"813_East_Gate_Drive_Mt._Laurel.pdf";"Fact Sheet";"813_East_Gate_Drive_Mt._Laurel.pdf";"168"
"376";"1151";"301_High_Street_Glassboro.pdf";"Fact Sheet";"301_High_Street_Glassboro.pdf";"243"
